bin_start,bin_end,bin_mid,count_all,avg_all,avg2_all,count_nz,avg_nz,avg2_nz,f
2,6,4.0,102,0.0697167755991285,0.01032841119987089,48,0.14814814814814806,0.02194787379972564,0.47058823529411764
7,11,9.0,270,0.08454245539646381,0.010706785150123401,216,0.10567806924557976,0.013383481437654252,0.8
12,16,14.0,318,0.06419849155750615,0.006525210509317805,240,0.08506300131369565,0.008645903924846092,0.7547169811320755
17,21,19.0,630,0.08431419910063984,0.010427121409074811,552,0.09622816201703459,0.011900518999487556,0.8761904761904762
22,26,24.0,486,0.08375921948436073,0.010972563476573266,384,0.10600776215989405,0.01388715065003804,0.7901234567901234
27,31,29.0,894,0.07755903413500259,0.008961155416825772,816,0.08497276533908373,0.00981773644931647,0.912751677852349
32,36,34.0,870,0.07943940388371062,0.009912189068805588,792,0.08726298153892455,0.010888389507400077,0.9103448275862069
37,41,39.0,1014,0.07558204746999589,0.009074509578004925,888,0.08630652717857638,0.010362108910019138,0.8757396449704142
42,46,44.0,1278,0.07818922695092172,0.008836861537155613,1224,0.08163875166934473,0.009226723075559537,0.9577464788732394
47,51,49.0,1374,0.08313861973358988,0.010705508248556586,1272,0.08980539584430228,0.011563968815657822,0.925764192139738
52,56,54.0,1158,0.07235011058597102,0.007968328463452383,1056,0.07933847354029777,0.008737996553672215,0.9119170984455959
57,61,59.0,1686,0.08149999665552995,0.009695756309727558,1584,0.08674810250077242,0.01032010425391456,0.9395017793594306
62,66,64.0,1902,0.07923297219928496,0.009617806408930252,1776,0.08485423036207207,0.01030015078253679,0.9337539432176656
67,71,69.0,1974,0.08488904733991876,0.010331770786542693,1896,0.08838131827478883,0.010756811989786537,0.9604863221884499
72,76,74.0,1638,0.07821365623302896,0.00971731819929759,1512,0.08473146091911471,0.010527094715905723,0.9230769230769231
77,81,79.0,2574,0.07741667405590083,0.008951973231511832,2496,0.07983594512014773,0.009231722394996577,0.9696969696969697
82,86,84.0,1806,0.08157585973053166,0.010085784686044505,1656,0.08896497745974649,0.010999352139490565,0.9169435215946844
87,91,89.0,2694,0.07832758169493187,0.009261063977336984,2568,0.08217075743230003,0.009715461976225012,0.9532293986636972
92,96,94.0,2094,0.07923170254493621,0.009207965972441832,2040,0.08132901231818453,0.00945170624818294,0.9742120343839542
97,100,98.5,2448,0.08467952666610946,0.010451507361836405,2352,0.08813583387697108,0.010878099499054219,0.9607843137254902
