bin_index,count
0,819
1,657
2,644
3,564
4,510
5,483
6,481
7,427
8,487
9,438
10,437
11,424
12,379
13,385
14,389
15,423
16,353
17,385
18,376
19,360
20,357
21,346
22,356
23,323
24,336
25,326
26,345
27,354
28,309
29,339
30,305
31,335
32,295
33,296
34,327
35,344
36,322
37,300
38,299
39,292
40,315
41,301
42,297
43,290
44,302
45,273
46,276
47,231
48,256
49,259
50,250
51,266
52,262
53,255
54,286
55,269
56,237
57,262
58,251
59,268
60,236
61,239
62,264
63,247
64,266
65,248
66,200
67,256
68,213
69,230
70,223
71,224
72,241
73,218
74,222
75,217
76,232
77,210
78,221
79,226
80,202
81,221
82,208
83,235
84,224
85,219
86,240
87,207
88,208
89,195
90,236
91,219
92,190
93,221
94,194
95,207
96,188
97,212
98,207
99,1
